DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
2022/01/01 06:10:48.01,35.89950,-120.44100,5.650,3.29,ML,65,53,2,0.10,NCSN,73671951
2022/01/03 02:34:48.24,35.31783,-119.40850,12.050,4.05,ML,72,28,19,0.43,NCSN,73672951
2022/01/05 07:20:55.90,38.18884,-117.86200,1.480,4.36,Mw,14,240,81,0.18,NCSN,73673871
2022/01/05 07:21:13.98,38.20917,-117.80133,21.620,4.37,Mw,61,95,53,0.28,NCSN,73673876
2022/01/06 00:28:07.01,37.33383,-117.90234,9.500,4.75,Mw,70,70,36,0.10,NCSN,73674211
2022/01/06 02:42:10.83,40.38467,-124.86433,12.570,4.58,Mw,145,224,46,0.24,NCSN,73674251
2022/01/06 04:21:22.10,38.19450,-117.88834,-1.840,3.62,ML,46,139,20,0.25,NCSN,73674291
2022/01/07 00:56:40.26,40.47800,-124.32183,18.750,3.03,ML,40,119,1,0.11,NCSN,73674821
2022/01/07 02:32:07.13,37.33633,-117.90283,8.720,3.01,ML,49,70,36,0.10,NCSN,73674891
2022/01/08 06:21:31.81,34.43433,-118.99683,-0.760,3.70,ML,33,118,19,0.35,NCSN,73675471
2022/01/08 23:46:18.31,33.36217,-116.87383,4.070,3.34,ML,11,118,1,0.13,NCSN,73675851
2022/01/13 03:19:08.87,33.47300,-116.44250,13.110,3.91,Mw,9,159,15,0.05,NCSN,73677711
2022/01/17 00:02:30.15,34.43000,-119.27500,10.440,3.21,ML,35,167,37,0.30,NCSN,73679401
2022/01/18 07:39:15.25,33.82550,-116.75166,13.080,3.70,ML,10,91,13,0.11,NCSN,73680096
2022/01/18 17:55:07.66,38.94033,-122.09016,4.690,3.20,Mh,23,117,18,0.25,NCSN,73680306
2022/01/18 18:31:13.82,38.96717,-122.11283,1.590,3.30,Mh,14,106,19,0.42,NCSN,73680326
2022/01/20 15:45:10.49,38.20417,-117.77283,4.970,3.62,ML,35,161,15,0.15,NCSN,73681076
2022/01/22 22:40:11.31,38.26383,-118.34400,21.210,4.36,Mw,72,80,14,0.44,NCSN,73682046
2022/01/23 16:53:10.31,36.66667,-121.27033,5.170,3.07,ML,77,68,7,0.12,NCSN,73682266
2022/01/23 20:57:15.38,33.43833,-116.39300,5.740,3.17,ML,8,168,18,0.09,NCSN,73682306
2022/01/26 09:59:04.98,36.02234,-117.78767,1.680,3.09,ML,16,113,2,0.18,NCSN,73683046
2022/01/27 10:51:22.46,35.06950,-118.99033,16.620,3.57,ML,53,50,16,0.27,NCSN,73683521
2022/01/27 10:52:41.18,35.04567,-118.99700,14.870,3.35,ML,28,80,18,0.29,NCSN,73683516
2022/01/30 07:16:42.10,38.15217,-118.00700,-1.210,3.84,ML,54,82,45,0.51,NCSN,73685716
2022/01/30 17:46:27.02,33.32450,-116.92717,11.560,3.93,Mw,13,107,7,0.15,NCSN,73685931
2022/02/01 17:26:16.67,33.94950,-118.19583,7.140,3.38,ML,15,115,25,0.17,NCSN,73686866
2022/02/02 01:41:48.22,38.65533,-119.77250,-1.090,3.47,Mw,59,39,9,0.15,NCSN,73686986
2022/02/04 15:50:09.36,38.84617,-122.81917,1.120,3.14,ML,91,22,1,0.07,NCSN,73688171
2022/02/06 04:55:17.85,38.78567,-122.74533,0.840,3.36,ML,106,39,1,0.08,NCSN,73689126
2022/02/06 23:24:47.28,33.70250,-117.50350,4.170,3.64,ML,22,126,34,0.23,NCSN,73689486
2022/02/07 00:01:53.73,37.72817,-122.13567,4.280,3.09,ML,202,14,3,0.16,NCSN,73689506
2022/02/08 23:16:00.41,38.80817,-122.80133,2.930,3.27,ML,98,30,1,0.07,NCSN,73690166
2022/02/11 00:25:02.19,34.40867,-119.13917,14.840,4.10,ML,44,117,26,0.33,NCSN,73691121
2022/02/12 03:13:42.08,37.73950,-122.14783,3.840,3.24,Mw,161,21,3,0.13,NCSN,73691736
2022/02/14 16:41:35.17,34.37917,-118.65600,1.600,3.31,ML,35,120,5,0.29,NCSN,73692731
2022/02/15 05:34:53.70,38.19383,-117.89433,-1.690,3.35,ML,30,139,21,0.39,NCSN,73693006
2022/02/15 21:16:23.13,38.20633,-117.77617,-1.840,4.48,Mw,59,96,16,0.52,NCSN,73693366
2022/02/16 12:10:59.58,36.84517,-121.55350,7.000,3.09,ML,99,23,4,0.14,NCSN,73693581
2022/02/16 23:02:47.90,35.69867,-121.12550,6.600,3.30,ML,60,105,3,0.09,NCSN,73693841
2022/02/19 21:35:37.60,40.29200,-124.41917,8.510,3.14,ML,38,239,7,0.13,NCSN,73695251
2022/02/21 05:06:09.30,38.27617,-118.35917,-2.030,3.66,ML,58,130,13,0.41,NCSN,73695781
2022/02/21 05:07:36.21,36.72066,-121.37117,2.700,3.40,Mw,87,50,3,0.14,NCSN,73695786
2022/02/26 01:42:23.08,38.19350,-117.77983,0.930,3.34,ML,33,143,14,0.16,NCSN,73698041
2022/02/27 01:44:18.46,34.42017,-119.12984,16.800,4.10,ML,41,138,26,0.31,NCSN,73698491
2022/02/27 04:44:34.53,34.42867,-119.11916,17.920,3.12,ML,55,137,34,0.26,NCSN,73698531
2022/02/27 04:44:34.87,34.44283,-119.14133,5.360,3.13,Md,31,135,28,0.21,NCSN,73698536
2022/03/01 05:01:11.10,34.44433,-119.30016,9.950,3.18,ML,26,171,37,0.24,NCSN,73699276
2022/03/01 05:06:43.03,34.45117,-119.29650,7.560,3.12,ML,29,152,36,0.24,NCSN,73699286
2022/03/01 18:17:21.35,38.15083,-118.02683,9.510,3.43,ML,37,141,29,0.19,NCSN,73699591
2022/03/03 11:39:58.20,38.78050,-122.75816,0.400,3.78,Mw,109,31,1,0.07,NCSN,73700486
2022/03/05 11:02:15.97,35.51300,-118.38300,10.400,3.43,ML,34,52,24,0.13,NCSN,73701601
2022/03/05 15:07:29.78,36.52867,-121.11816,6.480,3.22,ML,77,63,2,0.11,NCSN,73701676
2022/03/07 16:22:42.90,38.22583,-119.08000,8.970,3.54,Mw,46,48,7,0.16,NCSN,73702486
2022/03/13 20:51:30.10,36.58933,-121.18633,6.100,3.23,ML,78,65,2,0.08,NCSN,71127384
2022/03/13 20:51:32.26,36.58467,-121.18833,6.030,4.12,Mw,92,81,2,0.12,NCSN,73705146
2022/03/14 04:09:24.97,36.58600,-121.18283,5.890,3.07,ML,80,54,2,0.11,NCSN,73705251
2022/03/15 11:48:31.19,37.15800,-115.21616,-1.170,3.39,ML,13,249,95,0.18,NCSN,73705901
2022/03/15 18:15:34.69,35.82433,-117.65533,9.350,3.18,ML,17,79,17,0.15,NCSN,73706086
2022/03/18 04:51:22.29,38.52100,-119.54050,-0.540,3.99,Mw,32,69,5,0.09,NCSN,73707021
2022/03/18 15:16:25.79,36.48300,-120.90550,17.940,3.28,ML,94,50,6,0.19,NCSN,73707241
2022/03/19 16:59:41.39,37.00217,-121.76150,12.040,3.58,Mw,184,51,5,0.19,NCSN,73707826
2022/03/22 10:33:38.52,34.02367,-117.57450,4.950,3.39,ML,30,91,19,0.22,NCSN,73708721
2022/03/24 09:42:11.35,41.93700,-119.62150,16.900,3.30,Mh,18,282,57,0.34,NCSN,73709561
2022/03/25 21:10:58.61,39.12667,-122.25850,-0.490,3.67,Mw,74,49,3,0.25,NCSN,73710361
2022/03/26 17:46:51.28,38.51367,-119.54283,-0.460,3.29,ML,25,55,6,0.09,NCSN,73710701
2022/03/29 03:44:35.00,41.97950,-119.58350,10.250,3.30,Mh,11,298,60,0.09,NCSN,73711731
2022/03/29 22:27:18.98,37.13183,-116.18367,-0.740,3.08,ML,8,224,21,0.17,NCSN,73712061
2022/03/31 02:05:26.76,37.40933,-118.60316,10.530,3.93,Mw,37,62,7,0.07,NCSN,73712486
2022/03/31 08:16:30.00,37.41083,-118.60100,10.530,3.29,ML,31,61,7,0.07,NCSN,73712606
2022/03/31 22:39:04.67,36.81050,-121.53950,5.840,3.33,ML,126,29,3,0.18,NCSN,73712821
2022/04/01 11:34:29.81,38.21550,-117.86900,-1.900,3.84,ML,49,140,21,0.38,NCSN,73713031
2022/04/01 15:31:59.62,40.81650,-123.46967,26.050,3.02,ML,63,28,23,0.14,NCSN,73713091
2022/04/02 10:31:04.68,41.04533,-123.51050,33.390,3.54,ML,80,42,26,0.19,NCSN,73713331
2022/04/03 09:51:31.07,35.03167,-116.98050,4.420,3.92,ML,44,54,17,0.22,NCSN,73713681
2022/04/04 15:16:46.24,40.48717,-124.21017,21.400,4.07,Mw,48,56,7,0.15,NCSN,73714181
2022/04/04 15:18:31.59,40.48167,-124.21867,21.410,3.80,Mw,47,60,7,0.14,NCSN,73714176
2022/04/08 09:35:54.65,35.32000,-118.54450,8.260,3.51,ML,48,38,16,0.25,NCSN,73715906
2022/04/11 23:40:18.49,33.18467,-115.42950,10.060,3.35,ML,7,300,102,0.14,NCSN,73717221
2022/04/14 17:26:19.98,38.01083,-118.05117,9.850,3.32,ML,46,107,31,0.13,NCSN,73717525
2022/04/15 04:31:12.84,33.03617,-117.03484,2.260,4.50,Mw,10,229,10,0.69,NCSN,73717720
2022/04/17 05:38:34.07,32.29517,-116.04366,3.030,4.03,ML,11,263,73,0.29,NCSN,73718695
