time,b-value,Mean square deviation,Magnitude deficit,Elapsed days,Mean magnitude,Rate of square root of energy released,Mean time between characteristic events,Coefficient of variation from mean time,mag
1910-12-31,0.7721434057852247,0.003849000123997747,-0.17402737917480593,-4867.0,6.782,-1651441009.9442735,,,7.6
1911-01-31,,,,,,,,,
1911-02-28,,,,,,,,,
1911-03-31,,,,,,,,,
1911-04-30,,,,,,,,,
1911-05-31,,,,,,,,,
1911-06-30,,,,,,,,,
1911-07-31,,,,,,,,,
1911-08-31,,,,,,,,,
1911-09-30,,,,,,,,,
1911-10-31,,,,,,,,,
1911-11-30,,,,,,,,,
1911-12-31,,,,,,,,,
1912-01-31,,,,,,,,,
1912-02-29,,,,,,,,,
1912-03-31,,,,,,,,,
1912-04-30,,,,,,,,,
1912-05-31,,,,,,,,,
1912-06-30,,,,,,,,,
1912-07-31,,,,,,,,,
1912-08-31,,,,,,,,,
1912-09-30,,,,,,,,,
1912-10-31,,,,,,,,,
1912-11-30,,,,,,,,,
1912-12-31,,,,,,,,,
1913-01-31,,,,,,,,,
1913-02-28,,,,,,,,,
1913-03-31,0.7900201118179677,0.0032004121454550175,-0.10934022097382545,-4452.0,6.757999999999999,-1694972293.0473592,,,7.8
1913-04-30,,,,,,,,,
1913-05-31,,,,,,,,,
1913-06-30,,,,,,,,,
1913-07-31,,,,,,,,,
1913-08-31,,,,,,,,,
1913-09-30,,,,,,,,,
1913-10-31,,,,,,,,,
1913-11-30,,,,,,,,,
1913-12-31,,,,,,,,,
1914-01-31,,,,,,,,,
1914-02-28,,,,,,,,,
1914-03-31,,,,,,,,,
1914-04-30,,,,,,,,,
1914-05-31,0.8494081388546899,0.004883905032360335,0.036693582463280805,-4460.0,6.73,-1499124503.705256,,,8.1
1914-06-30,0.8758152357209856,0.0047138035246667796,0.09602061048271793,-4386.0,6.72,-1471926246.6448245,,,7.6
1914-07-31,,,,,,,,,
1914-08-31,,,,,,,,,
1914-09-30,,,,,,,,,
1914-10-31,0.8603352163970159,0.004743304078414432,0.06431613856383223,-3939.0,6.724,-1668478648.1876745,,,7.4
1914-11-30,,,,,,,,,
1914-12-31,,,,,,,,,
1915-01-31,,,,,,,,,
1915-02-28,,,,,,,,,
1915-03-31,,,,,,,,,
1915-04-30,,,,,,,,,
1915-05-31,,,,,,,,,
1915-06-30,,,,,,,,,
1915-07-31,,,,,,,,,
1915-08-31,,,,,,,,,
1915-09-30,,,,,,,,,
1915-10-31,,,,,,,,,
1915-11-30,,,,,,,,,
1915-12-31,,,,,,,,,
1916-01-31,0.8594127531444825,0.0048637161150907725,0.07563343226776098,-3940.0,6.7139999999999995,-1643414104.527261,,,7.7
1916-02-29,,,,,,,,,
1916-03-31,,,,,,,,,
1916-04-30,,,,,,,,,
1916-05-31,,,,,,,,,
1916-06-30,,,,,,,,,
1916-07-31,,,,,,,,,
1916-08-31,,,,,,,,,
1916-09-30,,,,,,,,,
1916-10-31,,,,,,,,,
1916-11-30,,,,,,,,,
1916-12-31,,,,,,,,,
1917-01-31,,,,,,,,,
1917-02-28,,,,,,,,,
1917-03-31,,,,,,,,,
1917-04-30,,,,,,,,,
1917-05-31,,,,,,,,,
1917-06-30,,,,,,,,,
1917-07-31,,,,,,,,,
1917-08-31,,,,,,,,,
1917-09-30,,,,,,,,,
1917-10-31,,,,,,,,,
1917-11-30,,,,,,,,,
1917-12-31,,,,,,,,,
1918-01-31,0.8692057145087693,0.0048438652707186265,0.10267520438527988,-3214.0,6.702000000000001,-1919657969.722521,,,6.3
1918-02-28,,,,,,,,,
1918-03-31,,,,,,,,,
1918-04-30,,,,,,,,,
1918-05-31,,,,,,,,,
1918-06-30,,,,,,,,,
1918-07-31,,,,,,,,,
1918-08-31,0.987466141393047,0.005117440758825002,-0.4100091995173454,-3282.0,6.686,-1575632151.6400633,,,8.3
1918-09-30,1.0093627458686443,0.003073884960664934,-0.397312125353098,-3550.0,6.688,-1467179112.528275,,,6.5
1918-10-31,,,,,,,,,
1918-11-30,1.0021673097925277,0.0025118294762976486,-0.3971257812940072,-3526.0,6.676,-1455418399.624087,,,6.9
1918-12-31,,,,,,,,,
1919-01-31,1.0060329088692754,0.002507143346847653,-0.3945706598438452,-3529.0,6.68,-1459110751.2282727,,,6.3
1919-02-28,,,,,,,,,
1919-03-31,,,,,,,,,
1919-04-30,1.011125556297509,0.0031235812493973416,-0.39625102628220876,-3389.0,6.69,-1539667553.9880643,,,6.4
1919-05-31,,,,,,,,,
1919-06-30,,,,,,,,,
1919-07-31,,,,,,,,,
1919-08-31,1.0094283157820012,0.0034229797512660776,-0.40080425105845485,-3495.0,6.691999999999999,-1499381079.308762,,,6.9
1919-09-30,,,,,,,,,
1919-10-31,1.0094283157820012,0.0034229797512660776,-0.40080425105845485,-3538.0,6.691999999999999,-1481157962.7428274,,,6.5
1919-11-30,,,,,,,,,
1919-12-31,,,,,,,,,
1920-01-31,,,,,,,,,
1920-02-29,,,,,,,,,
1920-03-31,1.016576897201913,0.003917781025587304,-0.3984997395613261,-3577.0,6.702000000000001,-1481176187.2634232,,,6.3
1920-04-30,,,,,,,,,
1920-05-31,,,,,,,,,
1920-06-30,1.0147780980564993,0.004534682004750323,-0.4050408384800317,-3527.0,6.706,-1513870421.407298,,,6.8
1920-07-31,,,,,,,,,
1920-08-31,1.0183906464926487,0.004538639019665923,-0.4026506985085483,-3413.0,6.71,-1569533413.5111582,,,6.3
1920-09-30,,,,,,,,,
1920-10-31,,,,,,,,,
1920-11-30,,,,,,,,,
1920-12-31,,,,,,,,,
1921-01-31,,,,,,,,,
1921-02-28,1.0164742865061573,0.004603900115789166,-0.40414066135029714,-3551.0,6.707999999999999,-1506654246.3796344,,,6.9
1921-03-31,,,,,,,,,
1921-04-30,1.020076028393815,0.006860497558731829,-0.413642508561594,-3442.0,6.725999999999999,-1595138607.6338685,,,6.8
1921-05-31,,,,,,,,,
1921-06-30,,,,,,,,,
1921-07-31,,,,,,,,,
1921-08-31,,,,,,,,,
1921-09-30,1.18090014919781,0.014967561891517555,-0.20633737989919787,-3415.0,6.702000000000001,-1505850260.6983912,,,7.6
1921-10-31,1.18090014919781,0.014967561891517555,-0.20633737989919787,-3243.0,6.701999999999999,-1585716509.4927554,,,6.6
1921-11-30,,,,,,,,,
1921-12-31,,,,,,,,,
1922-01-31,,,,,,,,,
1922-02-28,,,,,,,,,
1922-03-31,,,,,,,,,
1922-04-30,1.1774616176789572,0.014345751297258475,-0.20564960300991153,-3216.0,6.695999999999999,-1586456733.4073095,,,6.8
1922-05-31,1.1755443876492064,0.012339234872496111,-0.19994343119204672,-2946.0,6.685999999999999,-1704126719.1203437,,,7.0
1922-06-30,,,,,,,,,
1922-07-31,,,,,,,,,
1922-08-31,,,,,,,,,
1922-09-30,,,,,,,,,
1922-10-31,,,,,,,,,
1922-11-30,,,,,,,,,
1922-12-31,,,,,,,,,
1923-01-31,,,,,,,,,
1923-02-28,1.178446911559459,0.01257574758369969,-0.19980154727030985,-3082.0,6.69,-1636901562.0831118,,,6.5
1923-03-31,,,,,,,,,
1923-04-30,1.1333870105717054,0.016082587481876652,-0.25742668839936744,-3143.0,6.702000000000001,-1662987243.8646505,,,6.8
1923-05-31,1.1314887305684065,0.0161544692661605,-0.25839192203468553,-3151.0,6.7,-1656242410.1703355,,,6.4
1923-06-30,,,,,,,,,
1923-07-31,,,,,,,,,
1923-08-31,1.1365790791076444,0.01620923924120596,-0.2563632098892601,-3163.0,6.7059999999999995,-1659008777.2817845,,,6.3
1923-09-30,1.0661171905688092,0.013298997376636541,-0.25702801548081133,-3261.0,6.73,-1735979701.6715314,,,6.5
1923-10-31,1.0858073277174263,0.009786493936515386,-0.21719523505920346,-3339.0,6.71,-1626028822.218372,,,7.4
1923-11-30,,,,,,,,,
1923-12-31,,,,,,,,,
1924-01-31,,,,,,,,,
1924-02-29,1.0878660966347722,0.010887904832356575,-0.2242063973946289,-3326.0,6.724000000000001,-1673478942.7136168,,,6.6
1924-03-31,,,,,,,,,
1924-04-30,,,,,,,,,
1924-05-31,1.0132057294774701,0.013717982188743136,-0.34008835474708565,-3476.0,6.75,-1703661819.2393923,,,6.3
1924-06-30,,,,,,,,,
1924-07-31,1.0100197343311925,0.013738244320103834,-0.3421778697112847,-3200.0,6.746,-1845166224.8956513,,,6.5
1924-08-31,,,,,,,,,
1924-09-30,,,,,,,,,
1924-10-31,,,,,,,,,
1924-11-30,,,,,,,,,
1924-12-31,,,,,,,,,
1925-01-31,,,,,,,,,
1925-02-28,,,,,,,,,
1925-03-31,,,,,,,,,
1925-04-30,,,,,,,,,
1925-05-31,1.004823184309312,0.012259134174306194,-0.33716895630945043,-3212.0,6.73,-1799134859.3389435,,,7.1
1925-06-30,0.9928472105393846,0.011228858461171578,-0.3386907796396015,-3192.0,6.71,-1768708105.6627436,,,7.0
1925-07-31,,,,,,,,,
1925-08-31,,,,,,,,,
1925-09-30,,,,,,,,,
1925-10-31,0.9942703315139573,0.011638970410537988,-0.34026357974018584,-3187.0,6.7139999999999995,-1782374327.535193,,,6.7
1925-11-30,1.001971219773372,0.01105624676982191,-0.3126498661699175,-3257.0,6.696000000000001,-1686646710.0556407,,,7.3
1925-12-31,1.003698759263482,0.011042123116830511,-0.3114929906706019,-3500.0,6.6979999999999995,-1571816402.1917403,,,6.5
1926-01-31,,,,,,,,,
1926-02-28,,,,,,,,,
1926-03-31,0.993892480463983,0.012434244790132007,-0.33548171794136206,-3383.0,6.706,-1660429367.2437286,,,6.5
1926-04-30,,,,,,,,,
1926-05-31,0.9922547757469757,0.012440641946773084,-0.33621058037155027,-3470.0,6.704000000000001,-1615563165.7925134,,,6.6
1926-06-30,0.9314149077852066,0.01733918444072568,-0.4428616117055535,-3472.0,6.7219999999999995,-1705061014.3113477,,,6.7
1926-07-31,0.9238784358866545,0.01738034943629909,-0.4466998148316579,-3464.0,6.712,-1692304125.8752475,,,6.8
1926-08-31,0.9252791600444884,0.017365670321850903,-0.44630854102614936,-3446.0,6.7139999999999995,-1705016374.857215,,,6.7
1926-09-30,0.9252791600444884,0.017365670321850903,-0.44630854102614936,-3445.0,6.714000000000001,-1705511299.7846045,,,7.1
1926-10-31,0.9368213599644797,0.01248227556380612,-0.33065991339677137,-3446.0,6.718,-1752675734.8795166,,,7.6
1926-11-30,,,,,,,,,
1926-12-31,,,,,,,,,
1927-01-31,,,,,,,,,
1927-02-28,,,,,,,,,
1927-03-31,0.8313604519018573,0.020386746542043567,-0.43756402124026916,-3321.0,6.694,-1775842230.5639317,,,7.1
1927-04-30,,,,,,,,,
1927-05-31,,,,,,,,,
1927-06-30,0.8571515860572245,0.018831939902376856,-0.3708948423223992,-3328.0,6.678,-1696738618.602617,,,7.5
1927-07-31,,,,,,,,,
1927-08-31,0.8533285875242125,0.01913702760140909,-0.3809480631949489,-3230.0,6.6800000000000015,-1758016084.3325515,,,7.1
1927-09-30,,,,,,,,,
1927-10-31,,,,,,,,,
1927-11-30,,,,,,,,,
1927-12-31,0.8564601053995261,0.01942795178109672,-0.3793083921854743,-3175.0,6.686,-1797485631.6502984,,,6.3
1928-01-31,0.8586042894653716,0.020905406762065246,-0.38583172461924686,-3130.0,6.6979999999999995,-1852444700.1882575,,,6.4
1928-02-29,,,,,,,,,
1928-03-31,0.8617434044230731,0.021178241265899612,-0.38348112856229744,-3053.0,6.704,-1907054302.986829,,,6.2
1928-04-30,,,,,,,,,
1928-05-31,,,,,,,,,
1928-06-30,,,,,,,,,
1928-07-31,,,,,,,,,
1928-08-31,0.8617434044230731,0.021178241265899612,-0.38348112856229744,-3127.0,6.704,-1861924140.396159,,,6.3
1928-09-30,0.8637001688854775,0.021714386966100098,-0.3847988917988596,-3138.0,6.71,-1868282527.9368668,,,6.5
1928-10-31,,,,,,,,,
1928-11-30,0.8598271573282906,0.02056617801668164,-0.382732519161169,-3169.0,6.6979999999999995,-1825809403.6809857,,,6.9
1928-12-31,0.8577388337225806,0.020837633247339865,-0.38925060092446895,-3065.0,6.7,-1896449150.934755,,,7.0
1929-01-31,,,,,,,,,
1929-02-28,,,,,,,,,
1929-03-31,,,,,,,,,
1929-04-30,,,,,,,,,
1929-05-31,0.8596955981849848,0.02138122748238781,-0.39056137049670436,-2928.0,6.706,-1998992634.3108344,,,6.5
1929-06-30,,,,,,,,,
1929-07-31,,,,,,,,,
1929-08-31,,,,,,,,,
1929-09-30,,,,,,,,,
1929-10-31,,,,,,,,,
1929-11-30,0.8577388337225806,0.020837633247339865,-0.38925060092446895,-2870.0,6.7,-2025301967.810113,,,6.8
1929-12-31,,,,,,,,,
1930-01-31,,,,,,,,,
1930-02-28,,,,,,,,,
1930-03-31,0.7366563250989251,0.009167527337654004,0.029606454115313596,-2973.0,6.73,-2541208201.3597546,,,7.0
1930-04-30,,,,,,,,,
1930-05-31,,,,,,,,,
1930-06-30,0.7186020371208548,0.010771026134421815,-0.05593668836162813,-2819.0,6.768,-2856319940.075018,,,6.2
1930-07-31,,,,,,,,,
1930-08-31,,,,,,,,,
1930-09-30,,,,,,,,,
1930-10-31,,,,,,,,,
