time,x_1i,x_2i,x_3i,x_4i,x_5i,x_6i,x_7i,mag
1910-12-31,-0.004963201208391249,-0.0033945559200149744,0.00018160041292486495,0.0003622066630052656,0.0016137044361765607,,0.2685719894168419,7.6
1911-01-31,,,,,,,,
1911-02-28,,,,,,,,
1911-03-31,,,,,,,,
1911-04-30,,,,,,,,
1911-05-31,,,,,,,,
1911-06-30,,,,,,,,
1911-07-31,,,,,,,,
1911-08-31,,,,,,,,
1911-09-30,,,,,,,,
1911-10-31,,,,,,,,
1911-11-30,,,,,,,,
1911-12-31,,,,,,,,
1912-01-31,,,,,,,,
1912-02-29,,,,,,,,
1912-03-31,,,,,,,,
1912-04-30,,,,,,,,
1912-05-31,,,,,,,,
1912-06-30,,,,,,,,
1912-07-31,,,,,,,,
1912-08-31,,,,,,,,
1912-09-30,,,,,,,,
1912-10-31,,,,,,,,
1912-11-30,,,,,,,,
1912-12-31,,,,,,,,
1913-01-31,,,,,,,,
1913-02-28,,,,,,,,
1913-03-31,-0.00382239385001934,-0.0012482801073017968,-0.0021772784854774685,0.0014568165048814974,0.0014357032222021004,,0.2648453021726007,7.8
1913-04-30,,,,,,,,
1913-05-31,,,,,,,,
1913-06-30,,,,,,,,
1913-07-31,,,,,,,,
1913-08-31,,,,,,,,
1913-09-30,,,,,,,,
1913-10-31,,,,,,,,
1913-11-30,,,,,,,,
1913-12-31,,,,,,,,
1914-01-31,,,,,,,,
1914-02-28,,,,,,,,
1914-03-31,,,,,,,,
1914-04-30,,,,,,,,
1914-05-31,-0.003919962993969711,0.00018160041292494822,-0.0007284009223005317,0.0019903670978576593,0.0017752230886708131,,0.260463776859377,8.1
1914-06-30,-0.0015991401498756386,-0.0007191514499593765,-0.0003615460029247064,0.0014383171902391523,0.0014176033513157438,,0.25889017256861724,7.6
1914-07-31,,,,,,,,
1914-08-31,,,,,,,,
1914-09-30,,,,,,,,
1914-10-31,-0.0033945559200149744,0.00018160041292486495,0.0003622066630052656,0.0016137044361765607,0.001412494808465059,,0.2595201673244675,7.4
1914-11-30,,,,,,,,
1914-12-31,,,,,,,,
1915-01-31,,,,,,,,
1915-02-28,,,,,,,,
1915-03-31,,,,,,,,
1915-04-30,,,,,,,,
1915-05-31,,,,,,,,
1915-06-30,,,,,,,,
1915-07-31,,,,,,,,
1915-08-31,,,,,,,,
1915-09-30,,,,,,,,
1915-10-31,,,,,,,,
1915-11-30,,,,,,,,
1915-12-31,,,,,,,,
1916-01-31,-0.0012482801073017968,-0.0021772784854774685,0.0014568165048814974,0.0014357032222021004,-0.0005359437096502384,,0.25794379925471383,7.7
1916-02-29,,,,,,,,
1916-03-31,,,,,,,,
1916-04-30,,,,,,,,
1916-05-31,,,,,,,,
1916-06-30,,,,,,,,
1916-07-31,,,,,,,,
1916-08-31,,,,,,,,
1916-09-30,,,,,,,,
1916-10-31,,,,,,,,
1916-11-30,,,,,,,,
1916-12-31,,,,,,,,
1917-01-31,,,,,,,,
1917-02-28,,,,,,,,
1917-03-31,,,,,,,,
1917-04-30,,,,,,,,
1917-05-31,,,,,,,,
1917-06-30,,,,,,,,
1917-07-31,,,,,,,,
1917-08-31,,,,,,,,
1917-09-30,,,,,,,,
1917-10-31,,,,,,,,
1917-11-30,,,,,,,,
1917-12-31,,,,,,,,
1918-01-31,-0.0007191514499593765,-0.0003615460029247064,0.0014383171902391523,0.0014176033513157438,-0.0023140954524724644,,0.2560460878189161,6.3
1918-02-28,,,,,,,,
1918-03-31,,,,,,,,
1918-04-30,,,,,,,,
1918-05-31,,,,,,,,
1918-06-30,,,,,,,,
1918-07-31,,,,,,,,
1918-08-31,0.00018160041292486495,0.0003622066630052656,0.0016137044361765607,0.001412494808465059,-0.0035700063205718335,7.2,0.2535055342354532,8.3
1918-09-30,0.0003622066630052656,0.0016137044361765607,0.001412494808465059,-0.0035700063205718335,0.001801186325837062,,0.25382374410753245,6.5
1918-10-31,,,,,,,,
1918-11-30,0.0014568165048814974,0.0014357032222021004,-0.0005359437096502384,-0.001080697452884083,0.003557093858371718,,0.2519117451202077,6.9
1918-12-31,,,,,,,,
1919-01-31,0.0019903670978576593,0.0017752230886708131,-0.0017752230886709797,1.6653345369377348e-16,0.0007139449236246986,,0.2525498083341321,6.3
1919-02-28,,,,,,,,
1919-03-31,,,,,,,,
1919-04-30,0.0014383171902391523,0.0014176033513157438,-0.0023140954524724644,0.00035957483184581585,0.0024808726728600683,,0.25414177110964065,6.4
1919-05-31,,,,,,,,
1919-06-30,,,,,,,,
1919-07-31,,,,,,,,
1919-08-31,0.0016137044361765607,0.001412494808465059,-0.0035700063205718335,0.001801186325837062,0.001593369594178079,,0.25445961515026705,6.9
1919-09-30,,,,,,,,
1919-10-31,0.0014357032222021004,-0.0005359437096502384,-0.001080697452884083,0.003557093858371718,0.001731119011074228,,0.25445961515026705,6.5
1919-11-30,,,,,,,,
1919-12-31,,,,,,,,
1920-01-31,,,,,,,,
1920-02-29,,,,,,,,
1920-03-31,0.0017752230886708131,-0.0017752230886709797,1.6653345369377348e-16,0.0007139449236246986,0.0031498131113970873,,0.2560460878189161,6.3
1920-04-30,,,,,,,,
1920-05-31,,,,,,,,
1920-06-30,0.0014176033513157438,-0.0023140954524724644,0.00035957483184581585,0.0024808726728600683,0.00017482126458340241,,0.2566793930975207,6.8
1920-07-31,,,,,,,,
1920-08-31,0.001412494808465059,-0.0035700063205718335,0.001801186325837062,0.001593369594178079,-0.0001757662428621687,,0.2573119637879656,6.3
1920-09-30,,,,,,,,
1920-10-31,,,,,,,,
1920-11-30,,,,,,,,
1920-12-31,,,,,,,,
1921-01-31,,,,,,,,
1921-02-28,-0.0005359437096502384,-0.001080697452884083,0.003557093858371718,0.001731119011074228,-0.0034935704929371647,6.3,0.2569957703064484,6.9
1921-03-31,,,,,,,,
1921-04-30,-0.0035700063205718335,0.001801186325837062,0.001593369594178079,-0.0001757662428621687,-0.0021341444447244007,,0.25983488825177115,6.8
1921-05-31,,,,,,,,
1921-06-30,,,,,,,,
1921-07-31,,,,,,,,
1921-08-31,,,,,,,,
1921-09-30,-0.001080697452884083,0.003557093858371718,0.001731119011074228,-0.0034935704929371647,-0.0016137044361765052,,0.2560460878189161,7.6
1921-10-31,1.6653345369377348e-16,0.0007139449236246986,0.0031498131113970873,-0.00279477545967588,-0.0007113628379908365,,0.25604608781891575,6.6
1921-11-30,,,,,,,,
1921-12-31,,,,,,,,
1922-01-31,,,,,,,,
1922-02-28,,,,,,,,
1922-03-31,,,,,,,,
1922-04-30,0.00035957483184581585,0.0024808726728600683,0.00017482126458340241,-0.00301526876928912,0.0007178444918879701,,0.2550947539875268,6.8
1922-05-31,0.001801186325837062,0.001593369594178079,-0.0001757662428621687,-0.0021341444447244007,0.0021341444447243174,,0.253505534235453,7.0
1922-06-30,,,,,,,,
1922-07-31,,,,,,,,
1922-08-31,,,,,,,,
1922-09-30,,,,,,,,
1922-10-31,,,,,,,,
1922-11-30,,,,,,,,
1922-12-31,,,,,,,,
