time;b-value;Mean square deviation;Magnitude deficit;Elapsed days;Mean magnitude;Rate of square root of energy released;Mean time between characteristic events;Coefficient of variation from mean time;x_1i;x_2i;x_3i;x_4i;x_5i;x_6i;x_7i
03/11/1974;8.85901E+15;1.69028E+14;-4.05367E+15;24420;5.069E+15;3.18873E+15;4.95022E+16;5.05586E+15;0;1.25873E+14;-3.87917E+13;5.90533E+14;-9.1491E+14;45;1.31073E+13
10/11/1974;9.32661E+15;1.60145E+14;-2.92516E+15;23580;5.047E+16;3.13943E+15;4.95022E+16;5.05586E+15;8.47055E+14;4.30848E+13;1.68576E+14;-3.87917E+13;4.29145E+14;0;6.88116E+11
17/11/1974;9.32661E+15;1.60145E+14;-2.92516E+15;23580;5.047E+16;3.13943E+15;4.95022E+16;5.05586E+15;8.47055E+14;4.30848E+13;1.68576E+14;-3.87917E+13;4.29145E+14;0;6.88116E+11
24/11/1974;9.58862E+15;1.71961E+14;-2.40018E+15;23280;5.044E+16;3.12803E+15;4.95022E+16;5.05586E+15;9.05535E+13;2.62044E+14;5.22626E+14;-6.95749E+12;3.81094E+14;58;1.02739E+13
01/12/1974;9.59048E+14;1.50786E+14;-2.28382E+15;22960;5.031E+16;3.10238E+15;4.95022E+16;5.05586E+15;3.5904E+14;2.9376E+14;2.37983E+14;-8.44454E+12;52437302868;0;9.63976E+12
08/12/1974;9.59048E+14;1.50786E+14;-2.28382E+15;22960;5.031E+16;3.10238E+15;4.95022E+16;5.05586E+15;3.5904E+14;2.9376E+14;2.37983E+14;-8.44454E+12;52437302868;0;9.63976E+12
15/12/1974;9.59048E+14;1.50786E+14;-2.28382E+15;22960;5.031E+16;3.10238E+15;4.95022E+16;5.05586E+15;3.5904E+14;2.9376E+14;2.37983E+14;-8.44454E+12;52437302868;0;9.63976E+12
22/12/1974;9.59048E+14;1.50786E+14;-2.28382E+15;22960;5.031E+16;3.10238E+15;4.95022E+16;5.05586E+15;3.5904E+14;2.9376E+14;2.37983E+14;-8.44454E+12;52437302868;0;9.63976E+12
29/12/1974;9.59048E+14;1.50786E+14;-2.28382E+15;22960;5.031E+16;3.10238E+15;4.95022E+16;5.05586E+15;3.5904E+14;2.9376E+14;2.37983E+14;-8.44454E+12;52437302868;0;9.63976E+12
05/01/1975;9.59048E+14;1.50786E+14;-2.28382E+15;22960;5.031E+16;3.10238E+15;4.95022E+16;5.05586E+15;3.5904E+14;2.9376E+14;2.37983E+14;-8.44454E+12;52437302868;0;9.63976E+12
12/01/1975;9.59048E+14;1.50786E+14;-2.28382E+15;22960;5.031E+16;3.10238E+15;4.95022E+16;5.05586E+15;3.5904E+14;2.9376E+14;2.37983E+14;-8.44454E+12;52437302868;0;9.63976E+12
19/01/1975;9.59432E+15;1.34752E+14;-2.19769E+14;21000;5023;3.33859E+15;4.95022E+16;5.05586E+15;-1.41593E+14;5.86421E+14;0;1.25873E+14;-3.87917E+13;49;9.63976E+12
26/01/1975;9.58706E+15;1.22806E+14;-2.15026E+14;20710;5017;3.34612E+15;5.04505E+15;5.26233E+15;5.14201E+13;8.47055E+14;4.30848E+13;1.68576E+14;-3.87917E+13;50;6.64103E+12
02/02/1975;9.4928E+12;1.34381E+14;-2.36029E+15;20070;502;3.4954E+15;5.04505E+15;5.26233E+15;2.33824E+14;9.05535E+13;2.62044E+14;5.22626E+14;-6.95749E+12;59;8.74154E+12
09/02/1975;9.75884E+14;1.54862E+14;-1.74055E+15;19660;5.005E+15;3.36988E+15;5.04505E+15;5.26233E+15;1.41593E+14;3.5904E+14;2.9376E+14;2.37983E+14;-8.44454E+12;0;8.74154E+12
16/02/1975;1.00597E+16;1.44106E+13;-1.1535E+15;17580;4.998E+15;3.66837E+15;4.94133E+16;5.25698E+15;-4.63277E+13;-1.41593E+14;5.86421E+14;0;1.25873E+14;0;9.95324E+12
23/02/1975;1.00597E+16;1.44106E+13;-1.1535E+15;17580;4.998E+15;3.66837E+15;4.94133E+16;5.25698E+15;-4.63277E+13;-1.41593E+14;5.86421E+14;0;1.25873E+14;0;9.95324E+12
02/03/1975;1.01028E+15;1.19686E+14;-9.65688E+13;15070;4.986E+15;4.17621E+16;4.94133E+16;5.25698E+15;-3.49754E+14;5.14201E+13;8.47055E+14;4.30848E+13;1.68576E+14;45;8.45594E+12
