time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1998-12-27T04:10:40.700Z,27.808,53.587,33,4.8,mb,,,,0.71,us,usp0009085,2014-11-07T01:06:42.020Z,"56 km WNW of Ger?sh, Iran",earthquake,,,,39,reviewed,us,us
1998-12-26T23:11:02.510Z,34.753,54.352,33,4.5,mb,,,,1.1,us,usp000907x,2014-11-07T01:06:41.954Z,"central Iran",earthquake,,,,4,reviewed,us,us
1998-12-11T06:58:15.980Z,28.283,55.535,33,4.9,mb,,,,0.73,us,usp0008zex,2022-04-29T17:57:55.153Z,"110 km ESE of D?r?b, Iran",earthquake,,,,42,reviewed,us,us
1998-12-10T14:21:50.830Z,27.845,53.517,33,4.7,mb,,,,0.76,us,usp0008ze4,2014-11-07T01:06:38.163Z,"64 km WNW of Ger?sh, Iran",earthquake,,,,34,reviewed,us,us
1998-12-09T21:36:59.610Z,28.581,57.64,33,4.7,mb,,,,1.24,us,usp0008zcx,2014-11-07T01:06:37.795Z,"91 km SW of Bam, Iran",earthquake,,,,2,reviewed,us,us
1998-12-09T09:25:03.340Z,31.075,49.643,33,4.6,mb,,,,0.82,us,usp0008zc0,2014-11-07T01:06:37.674Z,"23 km S of R?mhormoz, Iran",earthquake,,,,17,reviewed,us,us
1998-12-03T13:13:33.570Z,36.046,50.882,33,4.5,mb,,,,1.2,us,usp0008z3v,2014-11-07T01:06:35.518Z,"25 km NNW of Karaj, Iran",earthquake,,,,14,reviewed,us,us
1998-12-01T22:42:37.210Z,32.66,48.168,33,4.5,mb,,,,1.12,us,usp0008z1n,2014-11-07T01:06:34.912Z,"44 km NW of Shahrak-e K?l?r?, Iran",earthquake,,,,4,reviewed,us,us
1998-11-23T11:11:37.880Z,38.348,45.085,21.2,4.6,mb,,,,1.2,us,usp0008ymz,2014-11-07T01:06:28.618Z,"25 km SSE of Khowy, Iran",earthquake,,,,28,reviewed,us,us
1998-11-18T11:37:19.720Z,38.365,45.169,33,4.8,mb,,,,1.08,us,usp0008ycr,2022-04-29T17:55:50.713Z,"27 km SE of Khowy, Iran",earthquake,,,,40,reviewed,us,us
