Kode,Provinsi,PDB.2020.triliun
11,ACEH,166.37
12,SUMATERA UTARA,811.19
13,SUMATERA BARAT,241.89
14,RIAU,727.6
15,JAMBI,205.08
16,SUMATERA SELATAN,454.61
17,BENGKULU,73.31
18,LAMPUNG,353.03
19,KEP. BANGKA BELITUNG,75.52
21,KEP. RIAU,254.1
31,DKI JAKARTA,2767.27
32,JAWA BARAT,2082.11
33,JAWA TENGAH,1347.22
34,DI YOGYAKARTA,138.12
35,JAWA TIMUR,2299.81
36,BANTEN,625.9
51,BALI,224.23
52,NUSA TENGGARA BARAT,133.61
53,NUSA TENGGARA TIMUR,106.48
61,KALIMANTAN BARAT,213.95
62,KALIMANTAN TENGAH,152.19
63,KALIMANTAN SELATAN,179.16
64,KALIMANTAN TIMUR,607.74
65,KALIMANTAN UTARA,100.42
71,SULAWESI UTARA,132.23
72,SULAWESI TENGAH,197.44
73,SULAWESI SELATAN,504.05
74,SULAWESI TENGGARA,130.11
75,GORONTALO,41.73
76,SULAWESI BARAT,46.47
81,MALUKU,46.26
82,MALUKU UTARA,42.3
91,PAPUA BARAT,83.59
92,PAPUA,199.19
